iter	Passed	Remaining
0	108	51768
1	131	31351
2	152	24144
3	174	20634
4	197	18711
5	219	17285
6	242	16305
7	264	15511
8	286	14906
9	307	14375
10	326	13882
11	350	13608
12	372	13317
13	395	13101
14	417	12884
15	440	12713
16	462	12549
17	483	12357
18	505	12207
19	525	12034
20	546	11896
21	569	11799
22	591	11705
23	613	11600
24	636	11527
25	658	11441
26	680	11364
27	705	11332
28	727	11256
29	749	11186
30	774	11162
31	797	11115
32	819	11052
33	842	11004
34	865	10956
35	887	10894
36	908	10831
37	931	10784
38	954	10739
39	975	10685
40	998	10638
41	1019	10583
42	1042	10541
43	1064	10501
44	1087	10467
45	1109	10422
46	1132	10382
47	1152	10326
48	1175	10288
49	1197	10253
50	1219	10211
51	1241	10172
52	1265	10148
53	1288	10118
54	1311	10088
55	1333	10051
56	1355	10009
57	1378	9979
58	1400	9948
59	1428	9948
60	1451	9924
61	1473	9889
62	1495	9853
63	1518	9823
64	1537	9768
65	1558	9727
66	1580	9697
67	1604	9673
68	1626	9638
69	1648	9606
70	1670	9577
71	1693	9549
72	1716	9525
73	1738	9492
74	1760	9461
75	1784	9440
76	1807	9413
77	1830	9387
78	1853	9362
79	1876	9333
80	1910	9365
81	1939	9366
82	1964	9347
83	1986	9318
84	2012	9306
85	2039	9295
86	2064	9279
87	2091	9267
88	2116	9251
89	2140	9228
90	2166	9214
91	2192	9196
92	2215	9169
93	2240	9151
94	2266	9135
95	2292	9121
96	2318	9104
97	2342	9084
98	2366	9059
99	2391	9038
100	2415	9015
101	2439	8994
102	2462	8964
103	2486	8940
104	2509	8914
105	2533	8892
106	2558	8870
107	2581	8844
108	2606	8822
109	2630	8798
110	2654	8775
111	2677	8751
112	2703	8733
113	2725	8701
114	2747	8673
115	2768	8640
116	2788	8604
117	2810	8574
118	2833	8548
119	2855	8519
120	2878	8492
121	2900	8463
122	2922	8435
123	2946	8411
124	2968	8382
125	2989	8352
126	3012	8325
127	3036	8302
128	3058	8275
129	3078	8241
130	3103	8220
131	3124	8191
132	3146	8162
133	3168	8134
134	3190	8106
135	3212	8077
136	3235	8053
137	3257	8024
138	3279	7998
139	3302	7973
140	3325	7948
141	3347	7920
142	3369	7892
143	3390	7863
144	3411	7835
145	3433	7806
146	3457	7784
147	3479	7758
148	3501	7731
149	3523	7704
150	3545	7678
151	3566	7649
152	3588	7622
153	3612	7600
154	3635	7576
155	3658	7551
156	3681	7526
157	3704	7502
158	3726	7476
159	3749	7452
160	3772	7428
161	3794	7402
162	3816	7375
163	3839	7351
164	3862	7326
165	3885	7302
166	3907	7277
167	3930	7252
168	3952	7226
169	3974	7201
170	3997	7177
171	4021	7153
172	4046	7133
173	4069	7109
174	4091	7084
175	4117	7065
176	4139	7039
177	4161	7014
178	4184	6989
179	4208	6966
180	4230	6942
181	4253	6917
182	4275	6891
183	4298	6867
184	4320	6843
185	4342	6817
186	4365	6793
187	4385	6765
188	4408	6740
189	4429	6714
190	4452	6690
191	4474	6664
192	4495	6639
193	4518	6614
194	4540	6589
195	4563	6565
196	4585	6541
197	4607	6515
198	4629	6490
199	4651	6465
200	4674	6441
201	4699	6420
202	4719	6393
203	4742	6369
204	4763	6343
205	4785	6319
206	4807	6293
207	4830	6269
208	4852	6245
209	4873	6219
210	4897	6197
211	4920	6174
212	4943	6150
213	4966	6126
214	4992	6107
215	5014	6082
216	5037	6059
217	5059	6034
218	5081	6009
219	5102	5984
220	5125	5960
221	5147	5936
222	5168	5909
223	5190	5885
224	5211	5859
225	5234	5836
226	5257	5813
227	5280	5790
228	5302	5765
229	5324	5741
230	5347	5718
231	5371	5695
232	5393	5670
233	5414	5645
234	5436	5621
235	5458	5596
236	5482	5574
237	5505	5551
238	5525	5525
239	5548	5502
240	5570	5477
241	5593	5454
242	5616	5431
243	5639	5408
244	5663	5386
245	5684	5360
246	5706	5336
247	5728	5313
248	5749	5288
249	5770	5262
250	5792	5238
251	5813	5213
252	5834	5189
253	5857	5165
254	5880	5142
255	5904	5120
256	5929	5099
257	5953	5076
258	5976	5053
259	6000	5031
260	6023	5007
261	6045	4984
262	6068	4960
263	6091	4937
264	6113	4914
265	6137	4891
266	6160	4868
267	6189	4849
268	6219	4832
269	6242	4809
270	6264	4785
271	6287	4762
272	6310	4738
273	6333	4715
274	6358	4693
275	6380	4669
276	6401	4645
277	6425	4622
278	6446	4598
279	6468	4574
280	6490	4550
281	6512	4526
282	6535	4503
283	6557	4479
284	6579	4455
285	6602	4432
286	6625	4409
287	6647	4385
288	6668	4361
289	6691	4338
290	6714	4314
291	6739	4293
292	6777	4279
293	6807	4260
294	6828	4236
295	6851	4212
296	6870	4187
297	6893	4163
298	6915	4140
299	6939	4117
300	6961	4093
301	6983	4070
302	7004	4045
303	7030	4023
304	7052	3999
305	7074	3976
306	7097	3953
307	7119	3929
308	7142	3906
309	7164	3882
310	7188	3860
311	7210	3836
312	7229	3811
313	7252	3787
314	7276	3765
315	7298	3741
316	7321	3718
317	7344	3695
318	7363	3670
319	7387	3647
320	7409	3624
321	7433	3601
322	7455	3577
323	7479	3555
324	7502	3531
325	7524	3508
326	7549	3485
327	7571	3462
328	7593	3439
329	7615	3415
330	7639	3392
331	7662	3369
332	7683	3345
333	7705	3322
334	7728	3299
335	7751	3275
336	7775	3253
337	7798	3230
338	7819	3206
339	7841	3182
340	7865	3159
341	7888	3136
342	7913	3114
343	7938	3092
344	7960	3068
345	7983	3045
346	8005	3022
347	8032	3000
348	8056	2977
349	8078	2954
350	8101	2931
351	8124	2908
352	8149	2885
353	8172	2862
354	8195	2839
355	8220	2817
356	8243	2793
357	8264	2770
358	8287	2747
359	8311	2724
360	8332	2700
361	8356	2677
362	8380	2654
363	8404	2632
364	8427	2609
365	8448	2585
366	8471	2562
367	8494	2539
