Feature_1,Feature_2,Correlation,Abs_Correlation
study_hours,study_hours_subtract_course_study_hours_mean,0.9998902932367296,0.9998902932367296
class_attendance,class_attendance_subtract_course_class_attendance_mean,0.9998470715519785,0.9998470715519785
sleep_hours,sleep_hours_subtract_course_sleep_hours_mean,0.9998331954571376,0.9998331954571376
sleep_hours,sleep_hours_subtract_study_method_sleep_hours_mean,0.9997387372465877,0.9997387372465877
class_attendance,class_attendance_subtract_study_method_class_attendance_mean,0.9996633326688391,0.9996633326688391
sleep_hours_subtract_course_sleep_hours_mean,sleep_hours_subtract_study_method_sleep_hours_mean,0.9995735096359638,0.9995735096359638
class_attendance_subtract_course_class_attendance_mean,class_attendance_subtract_study_method_class_attendance_mean,0.9995058515835736,0.9995058515835736
study_hours,study_hours_subtract_study_method_study_hours_mean,0.9981601275323175,0.9981601275323175
study_hours_subtract_course_study_hours_mean,study_hours_subtract_study_method_study_hours_mean,0.9980479521383985,0.9980479521383985
study_hours,class_attendance_x_study_hours_FE,0.9099550317294585,0.9099550317294585
class_attendance_x_study_hours_FE,study_hours_subtract_course_study_hours_mean,0.9098307890074389,0.9098307890074389
class_attendance_x_study_hours_FE,study_hours_subtract_study_method_study_hours_mean,0.9079114363889321,0.9079114363889321
study_hours,study_hours_add_sleep_hours_FE,0.8129982973973517,0.8129982973973517
study_hours_add_sleep_hours_FE,study_hours_subtract_course_study_hours_mean,0.812910778657097,0.812910778657097
study_hours_add_sleep_hours_FE,study_hours_subtract_study_method_study_hours_mean,0.8109896393528573,0.8109896393528573
study_method_study_hours_mean,study_method_sleep_hours_mean,0.7464951532004456,0.7464951532004456
study_method_study_hours_mean,study_method_class_attendance_mean,0.7461780695286142,0.7461780695286142
class_attendance_x_study_hours_FE,study_hours_add_sleep_hours_FE,0.744688443721294,0.744688443721294
class_attendance_x_sleep_quality_encoded_FE,study_hours_x_sleep_quality_encoded_FE,0.7157540980618092,0.7157540980618092
