Feature_1,Feature_2,Correlation,Abs_Correlation
study_method_study_hours_mean,study_method_sleep_hours_mean,0.157781818,0.746495153
study_method_study_hours_mean,study_method_class_attendance_mean,0.109068002,0.74617807
study_method_sleep_hours_mean,study_method_mixed_encoded,0.900977599,0.900977599
study_method_class_attendance_mean,study_method_self-study_encoded,-0.924632223,0.924632223
study_hours_subtract_course_study_hours_mean,study_hours_subtract_study_method_study_hours_mean,0.998047952,0.998047952
study_hours_add_sleep_hours_FE,study_hours_subtract_course_study_hours_mean,0.303923269,0.812910779
study_hours_add_sleep_hours_FE,study_hours_subtract_study_method_study_hours_mean,0.255209452,0.810989639
study_hours,study_hours_subtract_course_study_hours_mean,0.999890293,0.999890293
study_hours,study_hours_subtract_study_method_study_hours_mean,0.998160128,0.998160128
study_hours,class_attendance_x_study_hours_FE,0.909955032,0.909955032
study_hours,study_hours_add_sleep_hours_FE,0.812998297,0.812998297
sleep_quality_encoded,class_attendance_x_sleep_quality_encoded_FE,0.935756609,0.935756609
sleep_quality_encoded,study_hours_x_sleep_quality_encoded_FE,0.060354185,0.745808094
sleep_hours_subtract_course_sleep_hours_mean,sleep_hours_subtract_study_method_sleep_hours_mean,0.99957351,0.99957351
sleep_hours,sleep_hours_subtract_course_sleep_hours_mean,0.999833195,0.999833195
sleep_hours,sleep_hours_subtract_study_method_sleep_hours_mean,0.999738737,0.999738737
internet_access_no_encoded,internet_access_yes_encoded,-1,1
facility_rating_encoded,study_hours_x_facility_rating_encoded_FE,-0.085787266,0.73812087
exam_difficulty_encoded,study_hours_x_exam_difficulty_encoded_FE,-0.1832149,0.711849972
course_study_hours_mean,course_ba_encoded,0.206495635,0.760099361
course_sleep_hours_mean,course_b.tech_encoded,-0.827148063,0.827148063
course_class_attendance_mean,course_b.tech_encoded,-0.037073449,0.741621234
class_attendance_x_study_hours_FE,study_hours_subtract_course_study_hours_mean,0.909830789,0.909830789
class_attendance_x_study_hours_FE,study_hours_subtract_study_method_study_hours_mean,0.907911436,0.907911436
class_attendance_x_study_hours_FE,study_hours_add_sleep_hours_FE,0.011640368,0.744688444
class_attendance_x_sleep_quality_encoded_FE,study_hours_x_sleep_quality_encoded_FE,-0.134501083,0.715754098
class_attendance_subtract_course_class_attendance_mean,class_attendance_subtract_study_method_class_attendance_mean,0.999505852,0.999505852
class_attendance,class_attendance_subtract_course_class_attendance_mean,0.999847072,0.999847072
class_attendance,class_attendance_subtract_study_method_class_attendance_mean,0.999663333,0.999663333
