index,actual,predicted,error,residual,id,age,gender,course,study_hours,class_attendance,internet_access,sleep_hours,sleep_quality,study_method,facility_rating,exam_difficulty
78392,100.0,52.618225275166466,47.381774724833534,47.381774724833534,78392,20,other,b.com,0.86,90.9,yes,5.2,good,online videos,high,moderate
428160,72.6,25.416533575648927,47.18346642435107,47.18346642435107,428160,19,male,b.sc,0.08,43.7,yes,6.4,average,group study,medium,moderate
553891,100.0,53.092176794940926,46.907823205059074,46.907823205059074,553891,21,other,diploma,1.73,73.6,no,7.5,good,mixed,low,easy
613957,92.9,46.417400041237,46.482599958763004,46.482599958763004,613957,20,female,bca,0.08,97.0,yes,5.0,poor,coaching,high,moderate
47775,88.8,44.5389593200173,44.2610406799827,44.2610406799827,47775,17,female,b.com,0.75,89.4,yes,4.1,average,online videos,high,easy
526766,93.6,50.59776410861006,43.00223589138994,43.00223589138994,526766,21,other,b.sc,1.01,72.9,no,9.3,average,mixed,medium,easy
304834,21.0,63.907651076461164,42.907651076461164,-42.907651076461164,304834,22,male,bba,5.57,40.6,yes,7.7,poor,coaching,medium,moderate
288715,30.2,73.09357138794017,42.89357138794017,-42.89357138794017,288715,20,male,bba,5.48,93.8,yes,5.3,poor,coaching,low,moderate
51537,100.0,57.74019191418987,42.25980808581013,42.25980808581013,51537,21,male,bca,0.47,82.7,yes,9.2,good,coaching,medium,moderate
538911,82.2,40.52760428884224,41.67239571115776,41.67239571115776,538911,23,male,b.com,1.22,42.2,yes,9.5,average,self-study,high,easy
93901,93.0,51.40877790794115,41.59122209205885,41.59122209205885,93901,19,other,bba,1.96,85.0,yes,8.0,poor,self-study,high,hard
87444,100.0,58.59832246004276,41.40167753995724,41.40167753995724,87444,18,other,b.tech,2.85,70.9,yes,8.8,good,self-study,medium,moderate
258607,99.9,58.59086729358542,41.30913270641459,41.30913270641459,258607,17,other,b.tech,0.8,65.3,yes,9.5,good,coaching,high,moderate
547691,91.2,50.02910124842498,41.170898751575024,41.170898751575024,547691,23,female,b.tech,2.43,84.3,yes,5.2,poor,mixed,medium,moderate
199720,19.599,60.547186596571535,40.94818659657153,-40.94818659657153,199720,24,other,diploma,3.82,66.5,yes,6.7,poor,coaching,medium,moderate
590151,89.1,48.18969443455852,40.910305565441476,40.910305565441476,590151,21,other,ba,0.17,91.8,yes,9.2,average,self-study,high,moderate
366570,30.2,71.05392581097959,40.85392581097959,-40.85392581097959,366570,17,female,b.tech,6.2,58.0,yes,5.6,good,mixed,low,moderate
340684,25.2,65.79144714140749,40.591447141407485,-40.591447141407485,340684,24,male,b.sc,6.8,49.5,yes,6.9,poor,self-study,medium,moderate
31253,21.1,61.30874968512259,40.20874968512259,-40.20874968512259,31253,24,male,b.sc,1.47,93.6,yes,9.4,good,self-study,high,moderate
410018,26.6,66.6124295828434,40.0124295828434,-40.0124295828434,410018,24,female,b.com,2.41,99.0,yes,5.5,good,online videos,high,moderate
604287,85.5,45.619527042245494,39.880472957754506,39.880472957754506,604287,19,female,b.tech,0.1,95.8,yes,5.0,average,online videos,high,easy
505456,82.6,42.74495929150904,39.855040708490954,39.855040708490954,505456,18,female,bba,0.42,53.9,yes,4.7,average,coaching,high,hard
75952,93.5,53.904954784344454,39.595045215655546,39.595045215655546,75952,17,other,bba,0.08,95.1,yes,7.2,good,group study,high,moderate
236686,98.2,58.605215270402674,39.59478472959733,39.59478472959733,236686,23,male,b.com,2.02,80.0,yes,8.2,average,mixed,high,moderate
150111,19.599,59.040268793243655,39.44126879324365,-39.44126879324365,150111,18,male,bca,3.82,68.0,yes,4.5,poor,coaching,medium,moderate
359527,92.1,52.93185547709349,39.1681445229065,39.1681445229065,359527,24,male,b.tech,1.25,96.5,yes,9.9,poor,self-study,high,moderate
489088,93.1,54.04535194980563,39.054648050194366,39.054648050194366,489088,21,other,bca,0.64,94.1,yes,5.9,good,mixed,high,moderate
431217,30.7,69.58852113451384,38.88852113451384,-38.88852113451384,431217,21,other,b.com,7.03,43.1,yes,5.6,good,online videos,low,moderate
496134,50.2,89.08418608170084,38.88418608170083,-38.88418608170083,496134,17,female,b.com,7.91,53.4,yes,9.2,good,self-study,high,moderate
51409,19.9,58.58353210284732,38.68353210284732,-38.68353210284732,51409,19,other,b.com,3.78,83.6,yes,4.1,good,group study,low,moderate
243180,23.6,62.2824310381004,38.6824310381004,-38.6824310381004,243180,22,other,b.tech,5.64,43.5,yes,4.9,good,self-study,medium,moderate
354978,45.8,84.47555340609591,38.675553406095915,-38.675553406095915,354978,24,other,b.tech,7.32,53.5,yes,7.3,good,self-study,high,moderate
364617,44.9,83.55619985073976,38.65619985073976,-38.65619985073976,364617,19,female,b.com,5.49,96.7,yes,9.1,poor,coaching,medium,easy
331657,72.9,34.30656556642072,38.59343443357928,38.59343443357928,331657,20,female,b.sc,0.8,72.8,yes,5.0,average,self-study,low,easy
95380,23.1,61.25809872723076,38.15809872723076,-38.15809872723076,95380,19,other,b.com,4.08,41.4,yes,8.1,good,self-study,high,easy
426597,29.9,67.97429995920363,38.074299959203636,-38.074299959203636,426597,22,other,diploma,3.29,96.6,no,6.8,good,group study,low,moderate
438988,21.8,59.81262281051554,38.01262281051554,-38.01262281051554,438988,17,other,b.sc,0.94,95.9,yes,8.4,good,group study,medium,easy
516795,45.1,82.97262063961469,37.87262063961469,-37.87262063961469,516795,18,female,bba,7.47,89.6,yes,4.1,average,online videos,medium,moderate
629254,26.8,64.63126304519224,37.831263045192244,-37.831263045192244,629254,17,other,b.tech,6.1,54.5,yes,6.3,poor,self-study,high,hard
43197,68.8,31.185359502633137,37.614640497366864,37.614640497366864,43197,18,other,diploma,0.08,43.4,yes,7.9,poor,mixed,high,moderate
615603,92.7,55.12280213471432,37.57719786528568,37.57719786528568,615603,19,other,bca,0.89,67.8,yes,4.3,good,coaching,high,moderate
573368,36.1,73.59171954797884,37.49171954797884,-37.49171954797884,573368,23,male,bba,6.21,41.6,yes,8.5,poor,coaching,high,moderate
517003,98.6,61.22916976329285,37.37083023670714,37.37083023670714,517003,22,male,bba,2.01,56.3,yes,7.5,good,coaching,high,moderate
210689,88.9,51.66624447248332,37.233755527516685,37.233755527516685,210689,20,other,b.tech,3.81,66.6,yes,5.8,average,self-study,low,easy
438066,74.8,37.74166645121853,37.05833354878147,37.05833354878147,438066,22,male,b.com,0.19,91.9,yes,4.9,poor,coaching,low,easy
75322,53.2,90.17556933878905,36.97556933878904,-36.97556933878904,75322,24,female,b.tech,7.65,97.5,yes,8.7,poor,online videos,high,easy
308258,93.3,56.35033114237421,36.94966885762579,36.94966885762579,308258,22,female,bca,0.59,94.9,yes,9.2,average,mixed,high,easy
462936,91.0,54.06549821672908,36.93450178327092,36.93450178327092,462936,22,male,b.tech,0.68,87.8,yes,8.2,good,group study,high,easy
479255,74.3,37.37689548452154,36.92310451547846,36.92310451547846,479255,24,female,bba,0.08,43.6,yes,6.2,good,mixed,high,easy
450474,48.5,85.33078901115005,36.830789011150046,-36.830789011150046,450474,18,male,ba,6.03,91.9,yes,9.1,average,coaching,low,hard
198833,97.5,60.67139325998947,36.82860674001053,36.82860674001053,198833,18,female,b.sc,0.28,86.4,no,9.1,good,coaching,high,moderate
149111,80.0,43.322747431383846,36.677252568616154,36.677252568616154,149111,23,female,b.tech,2.44,49.3,yes,9.5,poor,online videos,high,hard
554198,44.1,80.73945615329474,36.63945615329474,-36.63945615329474,554198,24,male,bca,7.91,83.3,yes,6.1,poor,group study,medium,moderate
289109,43.6,80.17564714074231,36.57564714074231,-36.57564714074231,289109,23,other,diploma,7.89,73.8,yes,8.7,poor,online videos,medium,moderate
573761,100.0,63.73593771883624,36.26406228116376,36.26406228116376,573761,19,male,b.com,4.94,63.8,yes,7.9,poor,self-study,high,easy
327803,99.0,62.79772568862198,36.20227431137802,36.20227431137802,327803,21,male,b.sc,0.89,81.6,yes,8.2,good,coaching,high,moderate
257991,31.4,67.51656142370746,36.11656142370746,-36.11656142370746,257991,17,female,b.tech,7.26,56.8,yes,6.0,poor,self-study,low,hard
101423,42.2,78.29678475372523,36.09678475372523,-36.09678475372523,101423,19,female,b.com,6.37,85.8,yes,6.6,good,online videos,low,moderate
248837,20.5,56.540079017968715,36.040079017968715,-36.040079017968715,248837,19,male,b.tech,5.53,50.9,yes,6.2,poor,self-study,medium,moderate
328573,92.9,56.9739741887327,35.92602581126731,35.92602581126731,328573,18,female,bca,2.98,96.4,yes,7.0,poor,self-study,medium,easy
403602,75.8,39.895028187356374,35.90497181264362,35.90497181264362,403602,19,female,b.com,1.19,51.9,yes,5.7,poor,mixed,high,easy
