index,actual,predicted,error,residual,id,age,gender,course,study_hours,class_attendance,internet_access,sleep_hours,sleep_quality,study_method,facility_rating,exam_difficulty
613957,92.9,41.97835504711117,50.92164495288883,50.92164495288883,613957,20,female,bca,0.08,97.0,yes,5.0,poor,coaching,high,moderate
553891,100.0,52.279828836360466,47.720171163639534,47.720171163639534,553891,21,other,diploma,1.73,73.6,no,7.5,good,mixed,low,easy
51537,100.0,52.64494670757466,47.35505329242534,47.35505329242534,51537,21,male,bca,0.47,82.7,yes,9.2,good,coaching,medium,moderate
78392,100.0,53.21081405796885,46.78918594203115,46.78918594203115,78392,20,other,b.com,0.86,90.9,yes,5.2,good,online videos,high,moderate
258607,99.9,53.403676349165664,46.49632365083434,46.49632365083434,258607,17,other,b.tech,0.8,65.3,yes,9.5,good,coaching,high,moderate
428160,72.6,26.514912558934824,46.08508744106517,46.08508744106517,428160,19,male,b.sc,0.08,43.7,yes,6.4,average,group study,medium,moderate
31253,21.1,65.88246672162397,44.78246672162397,-44.78246672162397,31253,24,male,b.sc,1.47,93.6,yes,9.4,good,self-study,high,moderate
505456,82.6,39.41360507114596,43.186394928854035,43.186394928854035,505456,18,female,bba,0.42,53.9,yes,4.7,average,coaching,high,hard
47775,88.8,45.79573669070497,43.00426330929503,43.00426330929503,47775,17,female,b.com,0.75,89.4,yes,4.1,average,online videos,high,easy
526766,93.6,50.818418385261936,42.78158161473806,42.78158161473806,526766,21,other,b.sc,1.01,72.9,no,9.3,average,mixed,medium,easy
340684,25.2,66.86603209896298,41.66603209896297,-41.66603209896297,340684,24,male,b.sc,6.8,49.5,yes,6.9,poor,self-study,medium,moderate
517003,98.6,57.20138828039509,41.3986117196049,41.3986117196049,517003,22,male,bba,2.01,56.3,yes,7.5,good,coaching,high,moderate
489088,93.1,51.85809599085852,41.24190400914147,41.24190400914147,489088,21,other,bca,0.64,94.1,yes,5.9,good,mixed,high,moderate
590151,89.1,47.86665520974769,41.2333447902523,41.2333447902523,590151,21,other,ba,0.17,91.8,yes,9.2,average,self-study,high,moderate
496134,50.2,91.27781786236666,41.07781786236666,-41.07781786236666,496134,17,female,b.com,7.91,53.4,yes,9.2,good,self-study,high,moderate
198833,97.5,56.50619521036893,40.99380478963107,40.99380478963107,198833,18,female,b.sc,0.28,86.4,no,9.1,good,coaching,high,moderate
236686,98.2,57.29365335947856,40.90634664052144,40.90634664052144,236686,23,male,b.com,2.02,80.0,yes,8.2,average,mixed,high,moderate
354978,45.8,86.59820218160483,40.798202181604836,-40.798202181604836,354978,24,other,b.tech,7.32,53.5,yes,7.3,good,self-study,high,moderate
547691,91.2,50.44340187780145,40.756598122198554,40.756598122198554,547691,23,female,b.tech,2.43,84.3,yes,5.2,poor,mixed,medium,moderate
431217,30.7,71.3652440876186,40.6652440876186,-40.6652440876186,431217,21,other,b.com,7.03,43.1,yes,5.6,good,online videos,low,moderate
538911,82.2,41.57615427468425,40.62384572531575,40.62384572531575,538911,23,male,b.com,1.22,42.2,yes,9.5,average,self-study,high,easy
93901,93.0,52.43231149980855,40.56768850019145,40.56768850019145,93901,19,other,bba,1.96,85.0,yes,8.0,poor,self-study,high,hard
298935,91.2,50.885483769640196,40.31451623035981,40.31451623035981,298935,20,male,bca,1.91,50.3,yes,9.7,average,coaching,high,hard
87444,100.0,59.94917091622429,40.05082908377571,40.05082908377571,87444,18,other,b.tech,2.85,70.9,yes,8.8,good,self-study,medium,moderate
414839,93.7,53.93989318295502,39.760106817044985,39.760106817044985,414839,19,male,ba,0.77,88.5,yes,6.9,good,coaching,high,moderate
366570,30.2,69.93475656783139,39.73475656783138,-39.73475656783138,366570,17,female,b.tech,6.2,58.0,yes,5.6,good,mixed,low,moderate
243180,23.6,63.32044929192797,39.72044929192797,-39.72044929192797,243180,22,other,b.tech,5.64,43.5,yes,4.9,good,self-study,medium,moderate
572316,83.7,44.00705228822425,39.69294771177575,39.69294771177575,572316,20,male,b.tech,0.08,95.0,yes,8.6,poor,coaching,low,moderate
75322,53.2,92.79551577470153,39.595515774701525,-39.595515774701525,75322,24,female,b.tech,7.65,97.5,yes,8.7,poor,online videos,high,easy
438066,74.8,35.220484472077274,39.57951552792272,39.57951552792272,438066,22,male,b.com,0.19,91.9,yes,4.9,poor,coaching,low,easy
95380,23.1,62.63907471360748,39.53907471360748,-39.53907471360748,95380,19,other,b.com,4.08,41.4,yes,8.1,good,self-study,high,easy
327803,99.0,59.536710967649135,39.463289032350865,39.463289032350865,327803,21,male,b.sc,0.89,81.6,yes,8.2,good,coaching,high,moderate
51409,19.9,59.2729414120507,39.3729414120507,-39.3729414120507,51409,19,other,b.com,3.78,83.6,yes,4.1,good,group study,low,moderate
