index,actual,predicted,error,residual,id,age,gender,course,study_hours,class_attendance,internet_access,sleep_hours,sleep_quality,study_method,facility_rating,exam_difficulty
613957,92.9,41.079636255504745,51.82036374449526,51.82036374449526,613957,20,female,bca,0.08,97.0,yes,5.0,poor,coaching,high,moderate
51537,100.0,49.418489000157194,50.581510999842806,50.581510999842806,51537,21,male,bca,0.47,82.7,yes,9.2,good,coaching,medium,moderate
553891,100.0,51.94769554868147,48.05230445131853,48.05230445131853,553891,21,other,diploma,1.73,73.6,no,7.5,good,mixed,low,easy
258607,99.9,51.909946149802515,47.99005385019749,47.99005385019749,258607,17,other,b.tech,0.8,65.3,yes,9.5,good,coaching,high,moderate
78392,100.0,52.52612445939029,47.47387554060971,47.47387554060971,78392,20,other,b.com,0.86,90.9,yes,5.2,good,online videos,high,moderate
31253,21.1,68.03694370621568,46.93694370621568,-46.93694370621568,31253,24,male,b.sc,1.47,93.6,yes,9.4,good,self-study,high,moderate
428160,72.6,26.547826568540554,46.05217343145944,46.05217343145944,428160,19,male,b.sc,0.08,43.7,yes,6.4,average,group study,medium,moderate
505456,82.6,37.81948349438085,44.78051650561915,44.78051650561915,505456,18,female,bba,0.42,53.9,yes,4.7,average,coaching,high,hard
198833,97.5,54.199023447724244,43.300976552275756,43.300976552275756,198833,18,female,b.sc,0.28,86.4,no,9.1,good,coaching,high,moderate
517003,98.6,55.55580394848949,43.044196051510504,43.044196051510504,517003,22,male,bba,2.01,56.3,yes,7.5,good,coaching,high,moderate
47775,88.8,45.813107070237386,42.98689292976261,42.98689292976261,47775,17,female,b.com,0.75,89.4,yes,4.1,average,online videos,high,easy
526766,93.6,51.259866796667154,42.34013320333284,42.34013320333284,526766,21,other,b.sc,1.01,72.9,no,9.3,average,mixed,medium,easy
340684,25.2,67.5232562702698,42.323256270269795,-42.323256270269795,340684,24,male,b.sc,6.8,49.5,yes,6.9,poor,self-study,medium,moderate
496134,50.2,92.43671951083219,42.23671951083219,-42.23671951083219,496134,17,female,b.com,7.91,53.4,yes,9.2,good,self-study,high,moderate
354978,45.8,87.74867310634674,41.948673106346746,-41.948673106346746,354978,24,other,b.tech,7.32,53.5,yes,7.3,good,self-study,high,moderate
429454,91.0,49.05691193450918,41.94308806549082,41.94308806549082,429454,18,other,b.sc,2.26,96.5,yes,6.7,poor,coaching,low,moderate
431217,30.7,72.62722815505396,41.92722815505395,-41.92722815505395,431217,21,other,b.com,7.03,43.1,yes,5.6,good,online videos,low,moderate
298935,91.2,49.311294416727335,41.88870558327267,41.88870558327267,298935,20,male,bca,1.91,50.3,yes,9.7,average,coaching,high,hard
438066,74.8,32.95623776947671,41.84376223052329,41.84376223052329,438066,22,male,b.com,0.19,91.9,yes,4.9,poor,coaching,low,easy
414839,93.7,52.02360780293867,41.67639219706133,41.67639219706133,414839,19,male,ba,0.77,88.5,yes,6.9,good,coaching,high,moderate
590151,89.1,47.539331608460444,41.56066839153955,41.56066839153955,590151,21,other,ba,0.17,91.8,yes,9.2,average,self-study,high,moderate
75322,53.2,94.69645145347552,41.496451453475515,-41.496451453475515,75322,24,female,b.tech,7.65,97.5,yes,8.7,poor,online videos,high,easy
126130,88.8,47.49041882235541,41.30958117764459,41.30958117764459,126130,18,female,ba,1.92,74.5,yes,6.2,poor,coaching,high,moderate
615603,92.7,51.46548644050981,41.234513559490196,41.234513559490196,615603,19,other,bca,0.89,67.8,yes,4.3,good,coaching,high,moderate
572316,83.7,42.549438602922805,41.1505613970772,41.1505613970772,572316,20,male,b.tech,0.08,95.0,yes,8.6,poor,coaching,low,moderate
372900,90.4,49.381149038903885,41.01885096109612,41.01885096109612,372900,17,female,b.tech,2.15,54.6,yes,8.8,good,coaching,low,moderate
194976,91.5,50.52507294525795,40.97492705474205,40.97492705474205,194976,21,other,b.com,0.08,85.1,yes,7.1,good,coaching,high,moderate
547691,91.2,50.381038704906494,40.81896129509351,40.81896129509351,547691,23,female,b.tech,2.43,84.3,yes,5.2,poor,mixed,medium,moderate
489088,93.1,52.32146305404252,40.77853694595748,40.77853694595748,489088,21,other,bca,0.64,94.1,yes,5.9,good,mixed,high,moderate
95380,23.1,63.811282911069675,40.711282911069674,-40.711282911069674,95380,19,other,b.com,4.08,41.4,yes,8.1,good,self-study,high,easy
102764,49.2,89.84028066265093,40.64028066265092,-40.64028066265092,102764,24,female,b.com,6.07,90.3,yes,6.7,good,online videos,medium,easy
236686,98.2,57.606302092514134,40.59369790748587,40.59369790748587,236686,23,male,b.com,2.02,80.0,yes,8.2,average,mixed,high,moderate
93901,93.0,52.88090266001722,40.11909733998278,40.11909733998278,93901,19,other,bba,1.96,85.0,yes,8.0,poor,self-study,high,hard
538911,82.2,42.100737746758384,40.09926225324162,40.09926225324162,538911,23,male,b.com,1.22,42.2,yes,9.5,average,self-study,high,easy
327803,99.0,59.002759758881965,39.997240241118035,39.997240241118035,327803,21,male,b.sc,0.89,81.6,yes,8.2,good,coaching,high,moderate
108764,92.9,53.02171556088674,39.878284439113266,39.878284439113266,108764,23,other,bba,2.22,80.7,no,9.4,poor,coaching,high,hard
613095,100.0,60.257702476432335,39.742297523567665,39.742297523567665,613095,19,other,ba,2.75,68.2,yes,8.9,good,coaching,high,moderate
586174,93.6,53.96712677940418,39.63287322059581,39.63287322059581,586174,20,other,b.com,1.02,73.9,yes,9.0,good,coaching,medium,hard
243180,23.6,63.22851734438225,39.628517344382246,-39.628517344382246,243180,22,other,b.tech,5.64,43.5,yes,4.9,good,self-study,medium,moderate
209703,82.6,43.040201041043794,39.5597989589562,39.5597989589562,209703,22,male,b.tech,1.23,54.7,yes,9.4,average,coaching,medium,hard
516795,45.1,84.64700722146586,39.547007221465854,-39.547007221465854,516795,18,female,bba,7.47,89.6,yes,4.1,average,online videos,medium,moderate
101423,42.2,81.70497927412308,39.50497927412307,-39.50497927412307,101423,19,female,b.com,6.37,85.8,yes,6.6,good,online videos,low,moderate
586605,98.6,59.18429271083397,39.41570728916602,39.41570728916602,586605,24,other,diploma,2.03,98.6,yes,5.7,poor,coaching,high,hard
51409,19.9,59.261130501907815,39.361130501907816,-39.361130501907816,51409,19,other,b.com,3.78,83.6,yes,4.1,good,group study,low,moderate
629595,100.0,60.64297314560154,39.35702685439846,39.35702685439846,629595,23,other,b.sc,2.74,96.1,no,6.1,average,coaching,medium,hard
234095,98.2,58.85152075320481,39.34847924679519,39.34847924679519,234095,23,male,bba,2.81,76.3,yes,6.1,good,coaching,medium,easy
71458,89.9,50.64576089314301,39.25423910685699,39.25423910685699,71458,23,other,b.sc,0.7,96.1,yes,5.0,good,coaching,high,hard
43197,68.8,29.65564956138827,39.144350438611724,39.144350438611724,43197,18,other,diploma,0.08,43.4,yes,7.9,poor,mixed,high,moderate
366570,30.2,69.33882088292576,39.13882088292576,-39.13882088292576,366570,17,female,b.tech,6.2,58.0,yes,5.6,good,mixed,low,moderate
554198,44.1,83.21630058458553,39.116300584585524,-39.116300584585524,554198,24,male,bca,7.91,83.3,yes,6.1,poor,group study,medium,moderate
479255,74.3,35.27378073504334,39.02621926495666,39.02621926495666,479255,24,female,bba,0.08,43.6,yes,6.2,good,mixed,high,easy
589783,93.7,54.70070966028982,38.999290339710186,38.999290339710186,589783,20,male,b.tech,1.6,73.5,yes,5.6,good,coaching,medium,easy
537802,99.5,60.564371066445176,38.935628933554824,38.935628933554824,537802,18,female,diploma,2.41,95.9,yes,6.9,good,coaching,low,moderate
438988,21.8,60.7041219907269,38.90412199072689,-38.90412199072689,438988,17,other,b.sc,0.94,95.9,yes,8.4,good,group study,medium,easy
87444,100.0,61.09659947211112,38.90340052788888,38.90340052788888,87444,18,other,b.tech,2.85,70.9,yes,8.8,good,self-study,medium,moderate
257991,31.4,70.30052452017691,38.90052452017691,-38.90052452017691,257991,17,female,b.tech,7.26,56.8,yes,6.0,poor,self-study,low,hard
497661,25.0,63.81501267292666,38.81501267292666,-38.81501267292666,497661,24,female,b.tech,6.81,40.6,yes,4.1,poor,self-study,medium,hard
378919,21.1,59.89234774146559,38.79234774146559,-38.79234774146559,378919,21,other,b.tech,2.76,89.0,yes,5.6,good,self-study,low,moderate
3473,92.8,54.06976672589625,38.730233274103746,38.730233274103746,3473,24,other,bca,1.64,70.3,yes,7.6,good,coaching,high,easy
458147,89.6,50.908599103459736,38.69140089654026,38.69140089654026,458147,17,male,b.com,1.33,92.3,yes,5.5,average,coaching,medium,easy
381199,90.3,51.71554107761785,38.58445892238215,38.58445892238215,381199,21,female,diploma,2.85,84.1,yes,4.8,poor,coaching,medium,moderate
50631,99.1,60.53063165939546,38.569368340604534,38.569368340604534,50631,19,female,bca,1.8,81.0,yes,9.0,good,coaching,medium,easy
542822,88.0,49.61897513989867,38.38102486010133,38.38102486010133,542822,22,male,bca,0.28,83.3,yes,7.6,good,mixed,medium,moderate
398938,24.0,62.326603445194614,38.326603445194614,-38.326603445194614,398938,21,male,diploma,6.61,45.8,yes,5.2,poor,self-study,low,easy
447746,39.0,77.30527689375693,38.305276893756925,-38.305276893756925,447746,23,other,b.com,6.8,79.8,no,7.4,average,self-study,low,easy
315076,100.0,61.73127059877637,38.26872940122363,38.26872940122363,315076,17,female,bca,2.78,82.4,yes,5.2,good,coaching,medium,moderate
435636,97.7,59.46326858304028,38.23673141695972,38.23673141695972,435636,22,other,b.tech,1.47,83.6,yes,9.2,average,coaching,high,easy
192196,95.5,57.288652287196726,38.211347712803274,38.211347712803274,192196,21,female,diploma,3.36,84.5,yes,6.6,average,coaching,low,moderate
397726,100.0,61.79675724432044,38.20324275567956,38.20324275567956,397726,24,male,b.tech,3.86,96.5,yes,5.2,poor,coaching,medium,easy
511874,94.1,55.965846840269144,38.13415315973085,38.13415315973085,511874,20,female,bca,2.8,67.3,yes,9.2,poor,coaching,high,moderate
70609,82.9,44.919645989640564,37.98035401035944,37.98035401035944,70609,20,male,b.com,0.1,71.4,yes,5.8,good,coaching,high,easy
453531,46.2,84.16812052995024,37.96812052995024,-37.96812052995024,453531,20,male,bba,6.19,89.7,yes,9.8,poor,online videos,high,moderate
629254,26.8,64.71010535192157,37.91010535192157,-37.91010535192157,629254,17,other,b.tech,6.1,54.5,yes,6.3,poor,self-study,high,hard
101758,91.7,53.812313995557254,37.88768600444275,37.88768600444275,101758,23,female,b.tech,2.06,54.7,yes,9.3,good,coaching,medium,moderate
223756,62.8,24.912521166934173,37.88747883306583,37.88747883306583,223756,18,female,bba,0.38,67.5,yes,4.1,poor,coaching,low,moderate
208868,21.2,59.03067410404837,37.83067410404837,-37.83067410404837,208868,21,male,b.sc,1.73,94.4,yes,6.6,average,self-study,high,easy
256619,21.1,58.928651530785686,37.828651530785685,-37.828651530785685,256619,21,male,b.tech,4.21,41.9,yes,9.0,good,self-study,low,moderate
248837,20.5,58.3189826361232,37.8189826361232,-37.8189826361232,248837,19,male,b.tech,5.53,50.9,yes,6.2,poor,self-study,medium,moderate
612666,20.9,58.70945966819984,37.80945966819984,-37.80945966819984,612666,22,male,b.tech,5.91,47.9,yes,5.5,poor,self-study,medium,easy
586054,91.3,53.49825577241846,37.80174422758154,37.80174422758154,586054,19,other,b.com,2.43,70.5,yes,8.9,poor,coaching,high,easy
426597,29.9,67.62607195230707,37.72607195230707,-37.72607195230707,426597,22,other,diploma,3.29,96.6,no,6.8,good,group study,low,moderate
580768,29.8,67.5096065528802,37.7096065528802,-37.7096065528802,580768,23,male,bca,2.1,98.1,yes,5.5,good,online videos,medium,easy
437365,99.7,62.01659556518682,37.683404434813184,37.683404434813184,437365,17,male,b.tech,1.68,86.1,yes,8.7,good,coaching,high,moderate
67109,89.5,51.85525243885899,37.64474756114101,37.64474756114101,67109,19,female,b.com,0.92,96.1,yes,6.1,good,coaching,low,moderate
569751,79.3,41.67688992386842,37.623110076131574,37.623110076131574,569751,19,other,bba,1.8,44.3,yes,6.7,good,coaching,medium,moderate
308258,93.3,55.67994116340001,37.62005883659999,37.62005883659999,308258,22,female,bca,0.59,94.9,yes,9.2,average,mixed,high,easy
611544,88.3,50.683481885137596,37.6165181148624,37.6165181148624,611544,18,other,ba,2.5,54.7,yes,7.9,good,coaching,low,easy
289109,43.6,81.14056469096731,37.54056469096731,-37.54056469096731,289109,23,other,diploma,7.89,73.8,yes,8.7,poor,online videos,medium,moderate
285376,79.2,41.7051520571536,37.494847942846405,37.494847942846405,285376,20,female,b.tech,0.68,51.0,yes,4.2,good,coaching,high,moderate
403602,75.8,38.3411638735036,37.4588361264964,37.4588361264964,403602,19,female,b.com,1.19,51.9,yes,5.7,poor,mixed,high,easy
595676,81.6,44.16151290183405,37.43848709816594,37.43848709816594,595676,17,other,bba,2.06,41.7,yes,4.9,good,coaching,high,moderate
230605,100.0,62.59900223388237,37.40099776611763,37.40099776611763,230605,20,other,b.sc,6.05,50.1,yes,6.6,average,coaching,low,easy
75952,93.5,56.10551040573264,37.39448959426736,37.39448959426736,75952,17,other,bba,0.08,95.1,yes,7.2,good,group study,high,moderate
410018,26.6,63.97265143841874,37.372651438418735,-37.372651438418735,410018,24,female,b.com,2.41,99.0,yes,5.5,good,online videos,high,moderate
369758,19.599,56.940017123101164,37.34101712310117,-37.34101712310117,369758,17,female,ba,2.74,79.5,yes,8.7,average,self-study,low,easy
202555,41.5,78.83474974546603,37.33474974546603,-37.33474974546603,202555,22,female,bca,6.3,94.7,yes,5.0,poor,group study,high,hard
117555,93.4,56.1982930145027,37.2017069854973,37.2017069854973,117555,23,female,b.tech,0.08,93.2,yes,8.9,good,coaching,high,moderate
134565,26.0,63.1857522707567,37.1857522707567,-37.1857522707567,134565,17,other,b.com,4.64,71.4,yes,4.6,average,group study,medium,easy
144656,79.9,42.72590775665479,37.174092243345214,37.174092243345214,144656,18,female,b.tech,1.33,74.0,yes,9.4,poor,coaching,medium,moderate
86178,81.8,44.67086053730811,37.12913946269189,37.12913946269189,86178,23,other,ba,0.18,78.6,yes,6.9,average,coaching,high,easy
