Feature,Importance,Std
class_attendance_x_study_hours_FE,0.4213722994913264,0.004147439103943665
class_attendance_x_sleep_quality_encoded_FE,0.14760982275562898,0.0010133792425674319
study_method,0.10530899320046672,0.0005657819376734572
study_hours_add_sleep_hours_FE,0.08401832959887587,0.0022349346327675003
facility_rating,0.08202638516366363,0.00029068931151144853
study_hours,0.07665896895188422,0.002635919307950338
class_attendance,0.05701527471417742,0.0006427994116630802
sleep_hours,0.015721229196300198,0.001580681384341445
age,0.0029346241622872906,5.832894337627603e-05
course,0.0025839051382747285,8.564550874662737e-05
sleep_quality,0.0017005340595848176,0.0002307036089606858
gender,0.0014095950723285757,2.4645088440679746e-05
exam_difficulty,0.0010842060563325431,5.4890228178167256e-05
internet_access,0.0005558324388687038,2.8349581802650103e-05
