Feature,Importance,Std
study_hours,0.4358032446163662,0.0008338042161389057
class_attendance_x_study_hours_FE,0.1744813633815085,0.00021969429085633705
class_attendance,0.0882057980709948,0.0006633466598618181
study_hours_add_sleep_hours_FE,0.07345802481052797,0.0003717422080243098
study_hours_x_sleep_quality_encoded_FE,0.06473475499681006,0.0009738237838039599
study_hours_x_facility_rating_encoded_FE,0.040032179572253766,0.0007661361112539146
study_method_coaching_encoded,0.028359546237754163,0.00017064171679100006
class_attendance_study_hours_ratio,0.027723087880076058,0.00018496986209680193
class_attendance_x_sleep_quality_encoded_FE,0.024282518248273967,0.0008663660079432018
facility_rating_encoded,0.010962461226029308,0.00017158853048696842
sleep_hours,0.008112350034495898,0.0002545677562849995
sleep_quality_encoded,0.005955753030656109,0.00012166715026076372
study_method_mixed_encoded,0.005180345500741698,6.753188303766323e-05
study_method_self-study_encoded,0.004351784532734655,3.664849612303587e-05
study_hours_x_exam_difficulty_encoded_FE,0.002041184948591813,7.064692441303313e-05
study_method_online videos_encoded,0.0018705308247374275,2.9408668512684507e-05
age,0.0011605782348606702,8.498540446336363e-05
study_method_group study_encoded,0.0010784499003932944,3.83073213317833e-05
gender_other_encoded,0.0002721505778235491,2.0737871443980733e-05
gender_male_encoded,0.0002479164188748544,2.547913444717567e-05
course_b.sc_encoded,0.000218335828965217,1.1420928602469352e-05
gender_female_encoded,0.00020712069656615213,1.9506247425108884e-05
course_b.com_encoded,0.00019867598721093243,1.5672222083076682e-05
exam_difficulty_encoded,0.0001881723069900527,9.427973477339998e-06
course_b.tech_encoded,0.00018790241569719855,2.3870276141551557e-05
course_bba_encoded,0.00016302953533104233,7.12596795213004e-06
internet_access_no_encoded,0.00012820852847007216,4.64255261081784e-06
course_bca_encoded,0.00012261819699603836,6.624778302711572e-06
course_diploma_encoded,0.00011645003224597294,1.4003805366023e-05
course_ba_encoded,9.541263274577278e-05,1.0651181627250115e-05
internet_access_yes_encoded,6.0050794276848946e-05,8.305680212777684e-06
