Feature,Average_Importance
tenure,0.15522329891191033
Contract_numeric,0.15212548145331997
SeniorCitizen_x_MonthlyCharges_FE,0.07913581613283817
MonthlyCharges,0.025832719524333306
TotalCharges,0.020686269096127547
Dependents_numeric_x_MonthlyCharges_FE,0.01206083777719206
OnlineSecurity_numeric,0.009688907931114413
StreamingTV_numeric,0.008208340644462374
StreamingMovies_numeric,0.00755899137163771
SeniorCitizen_tenure_FE,0.005543474304747438
Dependents_numeric,0.00522708845379492
MultipleLines_numeric,0.004823044029362562
SeniorCitizen,0.0045244920825084954
PhoneService_x_MultipleLines_numeric_FE,0.003822548694378851
TechSupport_numeric,0.0030144240088860862
