Feature,Average_Importance
tenure,0.03657823022606342
Contract_numeric,0.02175187515809847
tenure_Contract_numeric_ratio,0.014341808360216111
MonthlyCharges,0.013630854584901434
Contract_numeric_inv,0.011815403856361763
TotalCharges,0.010152781831482504
MonthlyCharges_x_Contract_numeric_FE,0.005089893618280786
TotalCharges_MonthlyCharges_x_Contract_numeric_FE_ratio,0.0046827136556160335
is_month_to_month_x_payment_method_electronic_check,0.0027515867381164515
PaperlessBilling_Yes_encoded,0.0023090759125376746
has_internet,0.0019175859485621638
PaymentMethod_Electronic check_encoded,0.0016011029991215406
Dependents_Yes_encoded,0.0014725180385740588
MultipleLines_numeric,0.0012644500929543047
PhoneService_Yes_encoded,0.0009731495270593393
OnlineSecurity_numeric,0.0006901579373161969
TechSupport_numeric,0.0005005371260267944
SeniorCitizen_MonthlyCharges_FE,0.0003583119874013751
OnlineBackup_numeric,0.0003475550892697499
has_internet_x_OnlineSecurity_numeric_FE,0.00029847556264625763
DeviceProtection_numeric,0.00029604965254972134
StreamingTV_numeric,0.00022691598054666248
StreamingMovies_numeric,0.00019216666015383407
SeniorCitizen_Dependents_Yes_FE,0.00017066154344556607
PaymentMethod_Mailed check_encoded,0.00016185239579338486
Partner_Yes_encoded,0.00011722558493102776
has_internet_x_DeviceProtection_numeric_FE,0.00010929425492419597
