Feature,Importance,Std
Contract_numeric,0.031849902942074855,0.0010260830429202612
tenure,0.023218122853390782,0.0012581190599398665
TotalCharges_tenure_ratio,0.021338911806328565,0.002190315063025434
Contract_encoded,0.0037733192046744885,0.0005183864095610389
InternetService_Fiber optic_encoded,0.0036647339650940428,0.0012713212888564997
InternetService_Fiber optic_encoded_x_MonthlyCharges_FE,0.0030180167361350983,0.0010068263395196517
PaymentMethod_Electronic check_encoded,0.0026810929839928056,0.0001164182506225752
MonthlyCharges,0.002675313008420039,0.0003330254794685487
TotalCharges,0.0024940498022621147,0.00024141403665473796
MonthlyCharges_TotalCharges_ratio,0.0023240311791822266,0.00011238664946496142
PaperlessBilling_encoded,0.002123454878445734,3.456034685716989e-05
tenure_MonthlyCharges_mean,0.0017344229393991295,0.00033968924237867763
tenure_Contract_numeric_ratio,0.0016020955037154415,7.533156919790504e-05
MultipleLines_numeric,0.0015389464368659224,0.00010821642419374722
OnlineSecurity_numeric,0.001356737114169215,1.6922522897517103e-05
PhoneService_encoded,0.000773124421039777,4.816432195419122e-05
StreamingTV_numeric,0.0007445519525505184,4.862488505803872e-05
high_risk_combo,0.0007265794765701971,5.580787234964531e-05
StreamingMovies_numeric,0.0006298711737328854,9.913693445276397e-05
TechSupport_numeric,0.0005304486469587744,1.0117113034519768e-05
has_internet,0.000518476436632378,8.954917708851137e-05
Dependents_numeric_x_MonthlyCharges_FE,0.00041334038856148724,4.751317560129589e-05
Dependents_numeric,0.00037129600717522576,5.260681084637702e-05
InternetService_No_encoded_x_MonthlyCharges_FE,0.00035344874507531765,0.00010119444035288414
OnlineBackup_numeric,0.0003385584575322253,1.559690091352774e-05
SeniorCitizen,0.0002967247691518615,4.0844841618468734e-05
DeviceProtection_numeric,0.0002845360284266185,2.791571709280899e-05
SeniorCitizen_x_MonthlyCharges_FE,0.00027425326028972745,3.404290901494094e-05
PaymentMethod_Mailed check_encoded,0.00012728549587799566,2.3933760534035308e-05
SeniorCitizen_tenure_FE,0.00011342241304993506,1.7623996436294818e-05
InternetService_No_encoded,0.0001086232321425773,3.113415725375723e-05
Partner_numeric,6.132119848794692e-05,7.329203940329841e-06
gender_Male_encoded,5.892581840124978e-05,5.494830833881111e-06
PaymentMethod_Credit card (automatic)_encoded,5.539459319480189e-05,9.917380858798887e-06
