iter	Logloss
0	0.5251784649
1	0.446325688
2	0.3991209352
3	0.3697445309
4	0.354507431
5	0.3427574544
6	0.3350863945
7	0.3278226279
8	0.3237817749
9	0.3208081154
10	0.3175213025
11	0.3156723264
12	0.3136393435
13	0.3119317088
14	0.3105098468
15	0.3088284754
16	0.3080275296
17	0.307398363
18	0.3069017615
19	0.3060261678
20	0.3056487533
21	0.3052323877
22	0.3048896511
23	0.30460779
24	0.3043752669
25	0.3040763791
26	0.3036049561
27	0.3034294955
28	0.3032004895
29	0.3030333779
30	0.302789909
31	0.3026476144
32	0.3025099544
33	0.3023880392
34	0.3022719091
35	0.302141119
36	0.3019309147
37	0.3018566611
38	0.3017606147
39	0.3016695974
40	0.3015921225
41	0.3015253962
42	0.3014456205
43	0.3013847122
44	0.3013377408
45	0.3012881398
46	0.3012307486
47	0.3011885106
48	0.3011117589
49	0.3009652897
50	0.3009089832
51	0.3008267751
52	0.3007975536
53	0.3007068321
54	0.3006549302
55	0.3005632555
56	0.3004952801
57	0.3004478486
58	0.3003788213
59	0.3003484822
60	0.3002624283
61	0.3002354091
62	0.300195439
63	0.3001745665
64	0.3001202651
65	0.3000918982
66	0.3000571545
67	0.3000250076
68	0.2999518716
69	0.2999273834
70	0.2999052618
71	0.2998634839
72	0.2998391929
73	0.2998143102
74	0.2997667143
75	0.2997394979
76	0.299708337
77	0.2996633707
78	0.2996346751
79	0.2995988467
80	0.2995537161
81	0.2995278473
82	0.2994862337
83	0.2994409059
84	0.2994094163
85	0.2993901216
86	0.2993719115
87	0.2993413095
88	0.2993187606
89	0.2992852659
90	0.2992578851
91	0.2992427978
92	0.2992245877
93	0.2992061805
94	0.299188332
95	0.2991594392
96	0.2991331102
97	0.2990966902
98	0.2990707557
99	0.2990235213
100	0.2990026817
101	0.2989878573
102	0.2989678065
103	0.2989415762
104	0.2989178111
105	0.2988766248
106	0.2988429987
107	0.2988217646
108	0.2988079592
109	0.2987950741
110	0.2987783104
111	0.298743238
112	0.2987289395
113	0.2987070809
114	0.2986442661
115	0.2986231635
116	0.2986052821
117	0.2985849356
118	0.2985670871
119	0.2985353674
120	0.2985157111
121	0.2984825123
122	0.2984563148
123	0.2984389266
124	0.2984111185
125	0.2983943218
126	0.2983719373
127	0.2983499472
128	0.2983249002
129	0.2983052439
130	0.2982896963
131	0.2982603104
132	0.2982139636
133	0.2981983174
134	0.2981845777
135	0.2981740264
136	0.2981560136
137	0.2981380008
138	0.2981066756
139	0.2980869206
140	0.2980698282
141	0.2980425131
142	0.2980220679
143	0.2980095773
144	0.2979901839
145	0.297979797
146	0.2979617513
147	0.2979401228
148	0.2979272048
149	0.2979023222
150	0.297880595
151	0.2978693863
152	0.2978591637
153	0.2978463444
154	0.2978285616
155	0.2978158409
156	0.2978010822
157	0.2977872111
158	0.2977764297
159	0.2977592057
160	0.2977301157
161	0.2977170334
162	0.2977041812
163	0.2976846563
164	0.2976684843
165	0.2976412678
166	0.2976239124
167	0.2976097125
168	0.297587065
169	0.2975734897
170	0.297557712
171	0.2975425918
172	0.2975194183
173	0.2975069277
174	0.2974963107
175	0.2974860881
176	0.2974709678
177	0.2974604494
178	0.2974401028
179	0.2974187044
180	0.2973904689
181	0.2973797861
182	0.297368183
183	0.2973541475
184	0.2973413939
185	0.2973209487
186	0.297311745
187	0.297303922
188	0.2972915957
189	0.2972761796
190	0.2972637547
191	0.2972502451
192	0.2972390692
193	0.2972312462
194	0.2972146796
195	0.2972032408
196	0.2971873646
197	0.2971785554
198	0.2971575514
199	0.2971446006
200	0.2971364488
201	0.2971256674
202	0.2971145573
203	0.2971001931
204	0.2970828048
205	0.2970688679
206	0.2970462532
207	0.2970347487
208	0.2970175248
209	0.297004048
210	0.2969880731
211	0.2969699289
212	0.2969558933
213	0.2969323912
214	0.2969201306
215	0.2969077386
216	0.2968994882
217	0.2968869647
218	0.2968775639
219	0.2968607672
220	0.296851465
221	0.2968305925
222	0.2968194167
223	0.2968062029
224	0.2967938108
225	0.296783654
226	0.2967627815
227	0.2967531177
228	0.296743158
229	0.2967338887
230	0.2967247179
231	0.2967170592
232	0.2967092689
233	0.2966932283
234	0.296683959
235	0.2966759058
236	0.2966638096
237	0.296655855
238	0.2966451065
239	0.2966355084
240	0.2966240696
241	0.2966113818
242	0.2966018166
243	0.2965906736
244	0.2965811742
245	0.2965691108
246	0.2965599729
247	0.2965412041
248	0.2965324607
249	0.2965268728
250	0.2965210219
251	0.2965121141
252	0.2965026475
253	0.2964964679
254	0.2964811833
255	0.2964689228
256	0.2964577469
257	0.2964477544
258	0.2964330286
259	0.2964229046
260	0.2964134709
261	0.2964006844
262	0.2963940447
263	0.2963850711
264	0.2963762948
265	0.2963678143
266	0.2963582163
267	0.2963492099
268	0.2963344512
269	0.2963239985
270	0.2963133814
271	0.2963020084
272	0.2962947112
273	0.2962873155
274	0.2962763697
275	0.296267199
276	0.2962556615
277	0.2962476412
278	0.296240607
279	0.2962317979
280	0.2962222655
281	0.2962134892
282	0.2962046143
283	0.2961971528
284	0.296186963
285	0.2961752284
286	0.2961696076
287	0.2961580045
288	0.2961456453
289	0.2961358172
290	0.2961258575
291	0.2961106715
292	0.2960979508
293	0.2960860847
294	0.2960749089
295	0.2960678418
