iter	Passed	Remaining
0	6	4821
1	12	4366
2	17	4252
3	23	4186
4	28	4191
5	34	4182
6	40	4194
7	46	4188
8	52	4182
9	58	4170
10	64	4172
11	69	4165
12	75	4160
13	81	4150
14	86	4132
15	92	4108
16	97	4082
17	102	4061
18	108	4037
19	113	4019
20	118	4005
21	124	3988
22	129	3972
23	134	3956
24	140	3941
25	145	3924
26	150	3910
27	155	3899
28	161	3887
29	166	3874
30	171	3861
31	176	3848
32	182	3836
33	187	3824
34	192	3813
35	198	3812
36	204	3815
37	209	3813
38	215	3803
39	220	3793
40	225	3784
41	231	3774
42	236	3764
43	241	3755
44	246	3745
45	251	3734
46	257	3728
47	263	3728
48	269	3727
49	274	3728
50	280	3721
51	285	3712
52	290	3703
53	295	3693
54	301	3685
55	307	3685
56	312	3677
57	318	3674
58	323	3666
59	328	3658
60	333	3650
61	339	3644
62	344	3634
63	349	3626
64	354	3618
65	359	3610
66	365	3602
67	370	3597
68	375	3588
69	381	3586
70	386	3577
71	391	3571
72	397	3563
73	402	3555
74	407	3548
75	412	3542
76	418	3539
77	424	3536
78	430	3534
79	436	3532
80	441	3529
81	447	3527
82	453	3523
83	459	3520
84	465	3517
85	470	3514
86	476	3511
87	481	3503
88	486	3495
89	492	3488
90	497	3482
91	502	3475
92	507	3467
93	513	3461
94	518	3454
95	523	3448
96	528	3440
97	534	3434
98	539	3430
99	545	3424
100	550	3417
101	555	3411
102	561	3407
103	567	3404
104	572	3399
105	578	3392
106	583	3385
107	588	3379
108	594	3373
109	599	3366
110	604	3360
111	609	3354
112	614	3346
113	620	3341
114	625	3334
115	630	3327
116	635	3320
117	640	3313
118	646	3307
119	651	3301
120	656	3295
121	662	3288
122	667	3282
123	672	3275
124	677	3268
125	682	3262
126	688	3256
127	693	3249
128	698	3244
129	704	3240
130	710	3237
131	715	3231
132	720	3225
133	726	3218
134	731	3214
135	737	3210
136	743	3206
137	749	3202
138	754	3198
139	760	3194
140	765	3186
141	770	3180
142	775	3174
143	781	3167
144	786	3161
145	791	3156
146	797	3152
147	803	3147
148	808	3142
149	813	3136
150	819	3130
151	824	3124
152	829	3118
153	835	3112
154	840	3106
155	845	3100
156	850	3094
157	856	3088
158	861	3082
159	866	3076
160	872	3071
161	877	3067
162	883	3063
163	889	3058
164	894	3052
165	899	3046
166	905	3041
167	910	3034
168	915	3029
169	921	3024
170	927	3020
171	932	3015
172	938	3009
173	943	3003
174	948	2997
175	953	2991
176	959	2985
177	964	2980
178	969	2974
